site,n_total,n_asd,prev_per_1k,strata,data_source,l95_per_1k,u95_per_1k,year_survey,year_pub,birth_cohort,table,for_line
Total,NA,NA,10.2,black,NA,9.5,10.9,2008,2012,2000,2.1,1
Utah,116,NA,25.9,black,eh,8.3,80.2,2008,2012,2000,2.1,1
Wisconsin,5818,NA,5,black,ho,3.5,7.2,2008,2012,2000,2.1,1
Alabama,NA,NA,1.1,female,ho,0.7,1.8,2008,2012,2000,2,1
Arizona,NA,NA,5.4,female,eh,4.4,6.7,2008,2012,2000,2,1
Arkansas,NA,NA,3.6,female,eh,1.9,7,2008,2012,2000,2,1
Colorado,NA,NA,2.9,female,eh,1.6,5.3,2008,2012,2000,2,0
Colorado,NA,NA,2.2,female,ho,1.6,3.1,2008,2012,2000,2,1
Florida,NA,NA,2.9,female,ho,2.1,3.9,2008,2012,2000,2,1
Georgia,NA,NA,3.8,female,eh,3.1,4.6,2008,2012,2000,2,1
Maryland,NA,NA,3.9,female,eh,2.9,5.1,2008,2012,2000,2,1
Missouri,NA,NA,5.9,female,ho,4.7,7.4,2008,2012,2000,2,1
New Jersey,NA,NA,5.8,female,eh,3.8,9.1,2008,2012,2000,2,1
North Carolina,NA,NA,5.1,female,eh,4.1,6.2,2008,2012,2000,2,1
Pennsylvania,NA,NA,4.3,female,ho,3.1,5.8,2008,2012,2000,2,1
South Carolina,NA,NA,3.5,female,eh,2.6,4.8,2008,2012,2000,2,1
Total,NA,NA,4,female,NA,3.7,4.3,2008,2012,2000,2,1
Utah,NA,NA,11.7,female,eh,6.8,20.1,2008,2012,2000,2,1
Wisconsin,NA,NA,3.7,female,ho,2.9,4.7,2008,2012,2000,2,1
Alabama,2112,NA,1.4,hispanic,ho,0.5,4.4,2008,2012,2000,2.1,1
Arizona,14227,NA,8.9,hispanic,eh,7.5,10.6,2008,2012,2000,2.1,1
Arkansas,296,NA,10.1,hispanic,eh,3.3,31.4,2008,2012,2000,2.1,1
Colorado,2233,NA,6.7,hispanic,eh,4.1,11.1,2008,2012,2000,2.1,0
Colorado,9660,NA,3.5,hispanic,ho,2.5,4.9,2008,2012,2000,2.1,1
Florida,15540,NA,8.2,hispanic,ho,6.9,9.8,2008,2012,2000,2.1,1
Georgia,7875,NA,7.1,hispanic,eh,5.5,9.2,2008,2012,2000,2.1,1
Maryland,1347,NA,5.9,hispanic,eh,3,11.9,2008,2012,2000,2.1,1
Missouri,891,NA,9,hispanic,ho,4.5,18,2008,2012,2000,2.1,1
New Jersey,2050,NA,20,hispanic,eh,14.7,27.2,2008,2012,2000,2.1,1
North Carolina,4977,NA,7.6,hispanic,eh,5.6,10.5,2008,2012,2000,2.1,1
Pennsylvania,3067,NA,9.1,hispanic,ho,6.3,13.2,2008,2012,2000,2.1,1
South Carolina,1285,NA,7,hispanic,eh,3.6,13.5,2008,2012,2000,2.1,1
Total,NA,NA,7.9,hispanic,NA,7.2,8.6,2008,2012,2000,2.1,1
Utah,902,NA,4.4,hispanic,eh,1.7,11.8,2008,2012,2000,2.1,1
Wisconsin,4720,NA,3.8,hispanic,ho,2.4,6.1,2008,2012,2000,2.1,1
Alabama,NA,NA,8.1,male,ho,7,9.5,2008,2012,2000,2,1
Arizona,NA,NA,25.1,male,eh,22.8,27.6,2008,2012,2000,2,1
Arkansas,NA,NA,17.5,male,eh,13,23.6,2008,2012,2000,2,1
Colorado,NA,NA,20.1,male,eh,16.1,25,2008,2012,2000,2,0
Colorado,NA,NA,10.4,male,ho,8.9,12.2,2008,2012,2000,2,1
Florida,NA,NA,11.3,male,ho,9.7,13.1,2008,2012,2000,2,1
Georgia,NA,NA,19.6,male,eh,18,21.4,2008,2012,2000,2,1
Maryland,NA,NA,20.5,male,eh,18.3,23.1,2008,2012,2000,2,1
Missouri,NA,NA,21.6,male,ho,19.2,24.3,2008,2012,2000,2,1
New Jersey,NA,NA,34.2,male,eh,28.7,40.7,2008,2012,2000,2,1
North Carolina,NA,NA,23.1,male,eh,21,25.3,2008,2012,2000,2,1
Pennsylvania,NA,NA,22.2,male,ho,19.4,25.4,2008,2012,2000,2,1
South Carolina,NA,NA,18.3,male,eh,16.1,20.9,2008,2012,2000,2,1
Total,NA,NA,18.4,male,NA,17.7,19,2008,2012,2000,2,1
Utah,NA,NA,31.7,male,eh,22.4,44.8,2008,2012,2000,2,1
Wisconsin,NA,NA,11.7,male,ho,10.2,13.4,2008,2012,2000,2,1
Alabama,36566,174,4.8,overall,ho,4.1,5.5,2008,2012,2000,2,1
Arizona,32601,507,15.6,overall,eh,14.3,17,2008,2012,2000,2,1
Arkansas,4940,52,10.5,overall,eh,8,13.8,2008,2012,2000,2,1
Colorado,7725,91,11.8,overall,eh,9.6,14.5,2008,2012,2000,2,0
Colorado,29336,188,6.4,overall,ho,5.6,7.4,2008,2012,2000,2,1
Florida,29366,211,7.2,overall,ho,6.3,8.2,2008,2012,2000,2,1
Georgia,50427,601,11.9,overall,eh,11,12.9,2008,2012,2000,2,1
Maryland,27022,336,12.4,overall,eh,11.2,13.8,2008,2012,2000,2,1
Missouri,25668,357,13.9,overall,ho,12.5,15.4,2008,2012,2000,2,1
New Jersey,7082,145,20.5,overall,eh,17.4,24.1,2008,2012,2000,2,1
North Carolina,36913,525,14.2,overall,eh,13.1,15.5,2008,2012,2000,2,1
Pennsylvania,18440,245,13.3,overall,ho,11.7,15.1,2008,2012,2000,2,1
South Carolina,23769,264,11.1,overall,eh,9.8,12.5,2008,2012,2000,2,1
Total,337093,3820,11.3,overall,NA,11,11.7,2008,2012,2000,2,1
Utah,2123,45,21.2,overall,eh,15.8,28.4,2008,2012,2000,2,1
Wisconsin,34451,267,7.8,overall,ho,6.9,8.7,2008,2012,2000,2,1
Alabama,24516,NA,5,white,ho,4.2,6,2008,2012,2000,2.1,1
Arizona,15022,NA,20.7,white,eh,18.5,23.1,2008,2012,2000,2.1,1
Arkansas,2371,NA,13.5,white,eh,9.5,19.1,2008,2012,2000,2.1,1
Colorado,3990,NA,14.8,white,eh,11.5,19.1,2008,2012,2000,2.1,0
Colorado,16923,NA,7.3,white,ho,6.1,8.7,2008,2012,2000,2.1,1
Florida,7013,NA,4.6,white,ho,3.2,6.5,2008,2012,2000,2.1,1
Georgia,18725,NA,11.8,white,eh,10.3,13.5,2008,2012,2000,2.1,1
Maryland,18337,NA,12.9,white,eh,11.4,14.7,2008,2012,2000,2.1,1
Missouri,17718,NA,14.6,white,ho,12.9,16.5,2008,2012,2000,2.1,1
New Jersey,3096,NA,21,white,eh,16.5,26.8,2008,2012,2000,2.1,1
North Carolina,21038,NA,14.6,white,eh,13.1,16.4,2008,2012,2000,2.1,1
Pennsylvania,5180,NA,14.3,white,ho,11.4,17.9,2008,2012,2000,2.1,1
South Carolina,12506,NA,10.2,white,eh,8.6,12.2,2008,2012,2000,2.1,1
Total,NA,NA,12,white,NA,11.5,12.5,2008,2012,2000,2.1,1
Utah,899,NA,40,white,eh,28.9,55.5,2008,2012,2000,2.1,1
Wisconsin,22479,NA,8.6,white,ho,7.5,9.9,2008,2012,2000,2.1,1
Alabama,6752,NA,5.3,black,ho,3.8,7.4,2010,2014,2002,2.1,1
Arizona,1958,NA,16.3,black,eh,11.6,23.1,2010,2014,2002,2.1,1
Arkansas,7516,NA,11,black,eh,8.9,13.7,2010,2014,2002,2.1,1
Colorado,2402,NA,9.2,black,ho,6,13.9,2010,2014,2002,2.1,1
Georgia,20772,NA,14,black,eh,12.5,15.7,2010,2014,2002,2.1,1
Maryland,6209,NA,15.5,black,eh,12.7,18.9,2010,2014,2002,2.1,1
Missouri,6436,NA,8.4,black,ho,6.4,11,2010,2014,2002,2.1,1
New Jersey,7336,NA,17.9,black,eh,15,21.2,2010,2014,2002,2.1,1
North Carolina,9604,NA,15.7,black,eh,13.4,18.4,2010,2014,2002,2.1,1
Total,76000,NA,12.3,black,NA,11.5,13.1,2010,2014,2002,2.1,1
Utah,555,NA,9,black,eh,3.7,21.6,2010,2014,2002,2.1,1
Wisconsin,6460,NA,4.6,black,ho,3.2,6.6,2010,2014,2002,2.1,1
Alabama,NA,NA,2.4,female,ho,1.7,3.6,2010,2014,2002,2,1
Arizona,NA,NA,6,female,eh,4.9,7.3,2010,2014,2002,2,1
Arkansas,NA,NA,5.8,female,eh,4.9,7,2010,2014,2002,2,1
Colorado,NA,NA,4.2,female,ho,3.4,5.3,2010,2014,2002,2,1
Georgia,NA,NA,5.5,female,eh,4.6,6.5,2010,2014,2002,2,1
Maryland,NA,NA,5.6,female,eh,4.5,7.1,2010,2014,2002,2,1
Missouri,NA,NA,5,female,ho,3.9,6.3,2010,2014,2002,2,1
New Jersey,NA,NA,7.5,female,eh,6.2,9,2010,2014,2002,2,1
North Carolina,NA,NA,5.6,female,eh,4.6,6.8,2010,2014,2002,2,1
Total,NA,NA,5.3,female,NA,5,5.7,2010,2014,2002,2,1
Utah,NA,NA,7.4,female,eh,6,9.1,2010,2014,2002,2,1
Wisconsin,NA,NA,3.1,female,ho,2.4,4,2010,2014,2002,2,1
Alabama,1661,NA,1.2,hispanic,ho,0.3,4.8,2010,2014,2002,2.1,1
Arizona,13739,NA,10.6,hispanic,eh,9,12.5,2010,2014,2002,2.1,1
Arkansas,4087,NA,9.1,hispanic,eh,6.6,12.5,2010,2014,2002,2.1,1
Colorado,12697,NA,6.1,hispanic,ho,4.9,7.7,2010,2014,2002,2.1,1
Georgia,8601,NA,10.7,hispanic,eh,8.7,13.1,2010,2014,2002,2.1,1
Maryland,1842,NA,9.8,hispanic,eh,6.2,15.5,2010,2014,2002,2.1,1
Missouri,973,NA,12.3,hispanic,ho,7,21.7,2010,2014,2002,2.1,1
New Jersey,8937,NA,21.4,hispanic,eh,18.5,24.6,2010,2014,2002,2.1,1
North Carolina,5968,NA,9.7,hispanic,eh,7.5,12.6,2010,2014,2002,2.1,1
Total,68923,NA,10.8,hispanic,NA,10,11.6,2010,2014,2002,2.1,1
Utah,4697,NA,16.6,hispanic,eh,13.3,20.7,2010,2014,2002,2.1,1
Wisconsin,5721,NA,5.6,hispanic,ho,4,7.9,2010,2014,2002,2.1,1
Alabama,NA,NA,8.8,male,ho,7.3,10.8,2010,2014,2002,2,1
Arizona,NA,NA,25.1,male,eh,22.9,27.6,2010,2014,2002,2,1
Arkansas,NA,NA,24.9,male,eh,22.8,27.2,2010,2014,2002,2,1
Colorado,NA,NA,15.3,male,ho,13.6,17.1,2010,2014,2002,2,1
Georgia,NA,NA,25.4,male,eh,23.5,27.5,2010,2014,2002,2,1
Maryland,NA,NA,27,male,eh,24.4,29.9,2010,2014,2002,2,1
Missouri,NA,NA,23.1,male,ho,20.6,25.9,2010,2014,2002,2,1
New Jersey,NA,NA,36,male,eh,33.1,39,2010,2014,2002,2,1
North Carolina,NA,NA,28.7,male,eh,26.4,31.2,2010,2014,2002,2,1
Total,NA,NA,23.7,male,NA,23,24.4,2010,2014,2002,2,1
Utah,NA,NA,29.2,male,eh,26.3,32.4,2010,2014,2002,2,1
Wisconsin,NA,NA,15.3,male,ho,13.6,17.2,2010,2014,2002,2,1
Alabama,21833,125,5.7,overall,ho,4.8,6.8,2010,2014,2002,2,1
Arizona,33768,530,15.7,overall,eh,14.4,17.1,2010,2014,2002,2,1
Arkansas,38956,605,15.5,overall,eh,14.3,16.8,2010,2014,2002,2,1
Colorado,38806,384,9.9,overall,ho,9,10.9,2010,2014,2002,2,1
Georgia,48529,754,15.5,overall,eh,14.5,16.7,2010,2014,2002,2,1
Maryland,27605,458,16.6,overall,eh,15.1,18.2,2010,2014,2002,2,1
Missouri,25367,359,14.2,overall,ho,12.8,15.7,2010,2014,2002,2,1
New Jersey,31723,696,21.9,overall,eh,20.4,23.6,2010,2014,2002,2,1
North Carolina,37783,655,17.3,overall,eh,16.1,18.7,2010,2014,2002,2,1
Total,363749,5338,14.7,overall,NA,14.3,15.1,2010,2014,2002,2,1
Utah,23756,442,18.6,overall,eh,16.9,20.4,2010,2014,2002,2,1
Wisconsin,35623,330,9.3,overall,ho,8.3,10.3,2010,2014,2002,2,1
Alabama,12970,NA,6.2,white,ho,5,7.8,2010,2014,2002,2.1,1
Arizona,16239,NA,18.8,white,eh,16.8,21.1,2010,2014,2002,2.1,1
Arkansas,26335,NA,17.6,white,eh,16.1,19.3,2010,2014,2002,2.1,1
Colorado,21598,NA,11.3,white,ho,10,12.9,2010,2014,2002,2.1,1
Georgia,15875,NA,18.2,white,eh,16.2,20.4,2010,2014,2002,2.1,1
Maryland,17713,NA,16.8,white,eh,15,18.8,2010,2014,2002,2.1,1
Missouri,17058,NA,13.7,white,ho,12.1,15.6,2010,2014,2002,2.1,1
New Jersey,13724,NA,22.7,white,eh,20.3,25.3,2010,2014,2002,2.1,1
North Carolina,20376,NA,18.9,white,eh,17.1,20.9,2010,2014,2002,2.1,1
Total,201133,NA,15.8,white,NA,15.2,16.3,2010,2014,2002,2.1,1
Utah,17347,NA,19.1,white,eh,17.1,21.3,2010,2014,2002,2.1,1
Wisconsin,21898,NA,10.5,white,ho,9.2,11.9,2010,2014,2002,2.1,1
Arizona,"1,856",NA,19.4,black,eh,14,26.9,2012,2016,2004,3,1
Arkansas,"3,739",NA,9.9,black,ho,7.2,13.7,2012,2016,2004,3,0
Colorado,"2,469",NA,10.5,black,ho,7.2,15.1,2012,2016,2004,3,1
Georgia,"20,556",NA,13.7,black,eh,12.2,15.4,2012,2016,2004,errata,1
Maryland,"3,042",NA,18.6,black,eh,14.4,24,2012,2016,2004,3,1
Maryland,"3,171",NA,6.9,black,ho,4.5,10.6,2012,2016,2004,3,0
Missouri,"6,516",NA,9,black,ho,7,11.7,2012,2016,2004,3,1
New Jersey,"7,100",NA,23.7,black,eh,20.3,27.5,2012,2016,2004,3,1
North Carolina,"9,544",NA,15.5,black,eh,13.2,18.2,2012,2016,2004,3,1
South Carolina,"9,404",NA,10.6,black,eh,8.7,12.9,2012,2016,2004,3,1
Total,"74,307",NA,13.2,black,NA,12.4,14,2012,2016,2004,3,1
Utah,568,NA,12.3,black,eh,5.9,25.8,2012,2016,2004,3,1
Wisconsin,"6,342",NA,5.8,black,ho,4.2,8,2012,2016,2004,3,1
Arizona,NA,NA,5.7,female,eh,4.7,7,2012,2016,2004,2,1
Arkansas,NA,NA,4.6,female,ho,3.2,6.5,2012,2016,2004,2,0
Colorado,NA,NA,4.2,female,ho,3.4,5.2,2012,2016,2004,2,1
Georgia,NA,NA,5.2,female,eh,4.3,6.1,2012,2016,2004,2,1
Maryland,NA,NA,6.2,female,eh,4.3,9,2012,2016,2004,2,1
Maryland,NA,NA,2.2,female,ho,1.4,3.5,2012,2016,2004,2,0
Missouri,NA,NA,3.8,female,ho,2.8,5,2012,2016,2004,2,1
New Jersey,NA,NA,9.3,female,eh,7.9,10.9,2012,2016,2004,2,1
North Carolina,NA,NA,6,female,eh,5,7.2,2012,2016,2004,2,1
South Carolina,NA,NA,4.6,female,eh,3.5,6,2012,2016,2004,2,1
Total,NA,NA,5.3,female,NA,4.9,5.6,2012,2016,2004,2,1
Utah,NA,NA,6.4,female,eh,5.1,8,2012,2016,2004,2,1
Wisconsin,NA,NA,4.1,female,ho,3.2,5.2,2012,2016,2004,2,1
Arizona,"13,180",NA,11.3,hispanic,eh,9.6,13.3,2012,2016,2004,3,1
Arkansas,"1,025",NA,NA,hispanic,ho,NA,NA,2012,2016,2004,3,0
Colorado,"13,448",NA,6.5,hispanic,ho,5.2,8,2012,2016,2004,3,1
Georgia,"9,019",NA,9,hispanic,eh,7.2,11.2,2012,2016,2004,errata,1
Maryland,"1,384",NA,12.2,hispanic,eh,6.1,24.4,2012,2016,2004,3,1
Maryland,656,NA,5.8,hispanic,ho,2.9,11.6,2012,2016,2004,3,0
Missouri,"1,109",NA,8.1,hispanic,ho,4.2,15.6,2012,2016,2004,3,1
New Jersey,"9,787",NA,17.6,hispanic,eh,15.1,20.4,2012,2016,2004,3,1
North Carolina,"6,517",NA,9.1,hispanic,eh,7,11.7,2012,2016,2004,3,1
South Carolina,"1,964",NA,6.6,hispanic,eh,3.8,11.4,2012,2016,2004,3,1
Total,"68,885",NA,10.1,hispanic,NA,9.4,10.9,2012,2016,2004,3,1
Utah,"4,851",NA,13.2,hispanic,eh,10.3,16.9,2012,2016,2004,3,1
Wisconsin,"5,915",NA,7.4,hispanic,ho,5.5,10,2012,2016,2004,3,1
Arizona,NA,NA,24.2,male,eh,22,26.7,2012,2016,2004,2,1
Arkansas,NA,NA,19.2,male,ho,16.3,22.7,2012,2016,2004,2,0
Colorado,NA,NA,17.1,male,ho,15.4,19,2012,2016,2004,2,1
Georgia,NA,NA,25.6,male,eh,23.7,27.6,2012,2016,2004,2,1
Maryland,NA,NA,29.4,male,eh,25,34.6,2012,2016,2004,2,1
Maryland,NA,NA,13.9,male,ho,11.7,16.5,2012,2016,2004,2,0
Missouri,NA,NA,18.9,male,ho,16.7,21.4,2012,2016,2004,2,1
New Jersey,NA,NA,39.1,male,eh,36.2,42.2,2012,2016,2004,2,1
North Carolina,NA,NA,27.5,male,eh,25.3,29.9,2012,2016,2004,2,1
South Carolina,NA,NA,19.9,male,eh,17.6,22.5,2012,2016,2004,2,1
Total,NA,NA,23.6,male,NA,22.9,24.3,2012,2016,2004,2,1
Utah,NA,NA,27.7,male,eh,24.9,30.7,2012,2016,2004,2,1
Wisconsin,NA,NA,17.2,male,ho,15.4,19.2,2012,2016,2004,2,1
Arizona,"32,615",494,15.2,overall,eh,13.9,16.5,2012,2016,2004,2,1
Arkansas,"14,153",170,12,overall,ho,10.3,14,2012,2016,2004,2,0
Colorado,"40,538",436,10.8,overall,ho,9.8,11.8,2012,2016,2004,2,1
Georgia,"49,720",771,15.5,overall,eh,14.4,16.6,2012,2016,2004,2,1
Maryland,"18,154",174,18.2,overall,eh,15.7,21.1,2012,2016,2004,2,1
Maryland,"9,577",148,8.2,overall,ho,6.9,9.6,2012,2016,2004,2,0
Missouri,"25,870",297,11.5,overall,ho,10.2,12.9,2012,2016,2004,2,1
New Jersey,"32,581",800,24.6,overall,eh,22.9,26.3,2012,2016,2004,2,1
North Carolina,"38,913",656,16.9,overall,eh,15.6,18.2,2012,2016,2004,2,1
South Carolina,"24,356",302,12.4,overall,eh,11.1,13.9,2012,2016,2004,2,1
Total,"346,978",5063,14.6,overall,NA,14.2,15,2012,2016,2004,2,1
Utah,"24,945",431,17.3,overall,eh,15.7,19,2012,2016,2004,2,1
Wisconsin,"35,556",384,10.8,overall,ho,9.8,11.9,2012,2016,2004,2,1
Arizona,15525,NA,16.9,white,eh,15,19.1,2012,2016,2004,3,1
Arkansas,9083,NA,12.8,white,ho,10.4,15.3,2012,2016,2004,3,0
Colorado,22370,NA,12.2,white,ho,10.9,13.8,2012,2016,2004,3,1
Georgia,16451,NA,18.3,white,eh,16.3,20.5,2012,2016,2004,errata,1
Maryland,5019,NA,18.5,white,eh,15.1,22.7,2012,2016,2004,3,1
Maryland,12293,NA,8.6,white,ho,7.1,10.4,2012,2016,2004,3,0
Missouri,17211,NA,12,white,ho,10.5,13.8,2012,2016,2004,3,1
New Jersey,13829,NA,26.6,white,eh,24,29.5,2012,2016,2004,3,1
North Carolina,20789,NA,18.9,white,eh,17.1,20.8,2012,2016,2004,3,1
South Carolina,12485,NA,12.7,white,eh,10.8,14.8,2012,2016,2004,3,1
Total,185030,NA,15.5,white,NA,14.9,16.1,2012,2016,2004,3,1
Utah,18217,NA,17.7,white,eh,15.8,19.7,2012,2016,2004,3,1
Wisconsin,21758,NA,12,white,ho,10.6,13.5,2012,2016,2004,3,1
